Animal_Name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
Aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mammal
Antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
Bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mammal
Boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
Buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
Calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
Cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,Mammal
Cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
Deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
Dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal
Elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
Fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mammal
Giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
Human,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,Mammal
Goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
Gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,Mammal
Hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,Mammal
Hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mammal
Leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
Lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
Lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
Mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,Mammal
Mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mammal
Mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
Opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mammal
Oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
Platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,Mammal
Polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
Pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
Porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal
Puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
Cat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,Mammal
Weka,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,0,Bird
Owl,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,Bird
Chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird
Crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird
Dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird
Duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,Bird
Flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Bird
Gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird
Hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird
Kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,Bird
Lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird
Ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,Bird
Parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird
Penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,Bird
Pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird
Rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,Bird
Skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird
Skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird
Komodo Dragon,0,0,1,0,0,0,1,1,1,1,1,0,4,1,0,1,Reptile
Lizard,0,0,1,0,0,1,0,0,1,1,0,0,4,1,1,1,Reptile
Alligator,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,Reptile
Black Mamba,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,Reptile
Gecko,0,0,1,0,0,0,0,1,1,1,0,0,4,1,0,0,Reptile
Turtle,0,0,1,0,0,1,0,0,1,1,0,0,4,1,1,1,Reptile
Crocodile,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,Reptile
Chameloen,0,0,1,0,0,0,0,1,1,1,0,0,4,1,0,0,Reptile
Pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,Reptile
Seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,Reptile
Shark,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
Stone Fish,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,Fish
Haddock,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,Fish
Goldfish,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Fish
Bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
Carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Fish
Catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
Chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
Dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
Haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
Herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
Pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
Piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
Seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
